ticker,company,sector
ITT,ITT Inc.,Industrial Goods
ITW,Illinois Tool Works Inc.,Industrial Goods
IVZ,Invesco Ltd.,Financial
JAVA,nomatch,Misc
JBHT,"J.B. Hunt Transport Services, Inc.",Services
JBL,Jabil Inc.,Technology
JCI,Johnson Controls International plc,Consumer Goods
JCP,"J. C. Penney Company, Inc.",Services
JEC,Jacobs Engineering Group Inc.,Services
LUK,nomatch,Misc
JNJ,Johnson & Johnson,Healthcare
JNPR,"Juniper Networks, Inc.",Technology
JNS,nomatch,Misc
JNY,nomatch,Misc
JPM,JPMorgan Chase & Co.,Financial
JWN,"Nordstrom, Inc.",Services
K,Kellogg Company,Consumer Goods
LIZ,nomatch,Misc
KBH,KB Home,Industrial Goods
KEY,KeyCorp,Financial
KG,nomatch,Misc
KHC,The Kraft Heinz Company,Consumer Goods
KIM,Kimco Realty Corporation,Financial
KLAC,KLA Corporation,Technology
KMB,Kimberly-Clark Corporation,Consumer Goods
KMI,"Kinder Morgan, Inc.",Basic Materials
KMX,"CarMax, Inc.",Services
KO,The Coca-Cola Company,Consumer Goods
EK,nomatch,Misc
KR,The Kroger Co.,Services
KRFT,nomatch,Misc
KSS,Kohl's Corporation,Services
KSU,Kansas City Southern,Services
LTR,nomatch,Misc
LTD,nomatch,Misc
SAI,nomatch,Misc
LEG,"Leggett & Platt, Incorporated",Consumer Goods
LEH,nomatch,Misc
LEN,Lennar Corporation,Industrial Goods
LH,Laboratory Corporation of America Holdings,Healthcare
LIFE,"aTyr Pharma, Inc.",Healthcare
LKQ,LKQ Corporation,Consumer Goods
LLL,nomatch,Misc
LLTC,nomatch,Misc
LLY,Eli Lilly and Company,Healthcare
LM,"Legg Mason, Inc.",Financial
LMT,Lockheed Martin Corporation,Industrial Goods
LNC,Lincoln National Corporation,Financial
LNKD,nomatch,Misc
LNT,Alliant Energy Corporation,Utilities
LOW,"Lowe's Companies, Inc.",Services
LRCX,Lam Research Corporation,Technology
LSI,"Life Storage, Inc.",Financial
LSTR,"Landstar System, Inc.",Services
LUV,Southwest Airlines Co.,Services
LVLT,nomatch,Misc
LXK,nomatch,Misc
LYB,LyondellBasell Industries N.V.,Basic Materials
M,"Macy's, Inc.",Services
MA,Mastercard Incorporated,Financial
MAA,"Mid-America Apartment Communities, Inc.",Financial
MAC,Macerich Company,Financial
MAR,"Marriott International, Inc.",Services
MAS,Masco Corporation,Industrial Goods
MAT,"Mattel, Inc.",Consumer Goods
MBI,MBIA Inc.,Financial
MCD,McDonald's Corporation,Services
MCHP,Microchip Technology Incorporated,Technology
MCK,McKesson Corporation,Services
MCO,Moody's Corporation,Services
KFT,nomatch,Misc
MDP,Meredith Corporation,Services
MDT,Medtronic plc,Healthcare
MED,"Medifast, Inc.",Services
MER,nomatch,Misc
MET,"MetLife, Inc.",Financial
MFE,nomatch,Misc
MGM,MGM Resorts International,Services
MHK,"Mohawk Industries, Inc.",Consumer Goods
MHS,nomatch,Misc
MI,nomatch,Misc
MIL,nomatch,Misc
MJN,nomatch,Misc
MKC,"McCormick & Company, Incorporated",Consumer Goods
MLM,"Martin Marietta Materials, Inc.",Industrial Goods
MMC,"Marsh & McLennan Companies, Inc.",Financial
MMM,3M Company,Industrial Goods
MNK,Mallinckrodt plc,Healthcare
MNST,Monster Beverage Corporation,Consumer Goods
MNST,Monster Beverage Corporation,Consumer Goods
MNST,Monster Beverage Corporation,Consumer Goods
MNST,Monster Beverage Corporation,Consumer Goods
MO,"Altria Group, Inc.",Consumer Goods
MOLX,nomatch,Misc
MON,nomatch,Misc
MOS,The Mosaic Company,Basic Materials
MPC,Marathon Petroleum Corporation,Basic Materials
MRK,"Merck & Co., Inc.",Healthcare
MRO,Marathon Oil Corporation,Basic Materials
MS,Morgan Stanley,Financial
MSFT,Microsoft Corporation,Technology
MOT,nomatch,Misc
MTB,M&T Bank Corporation,Financial
MTD,Mettler-Toledo International Inc.,Healthcare
MTG,MGIC Investment Corporation,Financial
MTW,"The Manitowoc Company, Inc.",Industrial Goods
MU,"Micron Technology, Inc.",Technology
MUR,Murphy Oil Corporation,Basic Materials
MWV,nomatch,Misc
MYL,Mylan N.V.,Healthcare
NAV,Navistar International Corporation,Consumer Goods
NAVI,Navient Corporation,Financial
NBL,"Noble Energy, Inc.",Basic Materials
NBR,Nabors Industries Ltd.,Basic Materials
NCC,nomatch,Misc
NCLH,Norwegian Cruise Line Holdings Ltd.,Services
NDAQ,"Nasdaq, Inc.",Financial
NE,Noble Corporation plc,Basic Materials
FPL,First Trust New Opportunities MLP & Energy Fund,Financial
NEM,Newmont Goldcorp Corporation,Basic Materials
NFLX,"Netflix, Inc.",Services
NFX,nomatch,Misc
NI,NiSource Inc.,Utilities
NILE,nomatch,Misc
NKE,"NIKE, Inc.",Consumer Goods
NLSN,Nielsen Holdings plc,Technology
NOC,Northrop Grumman Corporation,Industrial Goods
NOV,"National Oilwell Varco, Inc.",Basic Materials
NOVL,nomatch,Misc
NRG,"NRG Energy, Inc.",Utilities
NSC,Norfolk Southern Corporation,Services
NSM,nomatch,Misc
NTAP,"NetApp, Inc.",Technology
NTRS,Northern Trust Corporation,Financial
NUE,Nucor Corporation,Basic Materials
NUS,"Nu Skin Enterprises, Inc.",Consumer Goods
NVDA,NVIDIA Corporation,Technology
NVLS,nomatch,Misc
NWL,Newell Brands Inc.,Consumer Goods
QSII,nomatch,Misc
NYT,The New York Times Company,Services
O,Realty Income Corporation,Financial
ODP,"Office Depot, Inc.",Services
OFLX,"Omega Flex, Inc.",Industrial Goods
OI,"Owens-Illinois, Inc.",Consumer Goods
OKE,"ONEOK, Inc.",Utilities
OMC,Omnicom Group Inc.,Services
OMX,nomatch,Misc
ORCL,Oracle Corporation,Technology
ORLY,"O'Reilly Automotive, Inc.",Services
OXY,Occidental Petroleum Corporation,Basic Materials
PAYX,"Paychex, Inc.",Services
PBCT,"People's United Financial, Inc.",Financial
PBG,nomatch,Misc
PBI,Pitney Bowes Inc.,Consumer Goods
PCAR,PACCAR Inc,Consumer Goods
PCG,PG&E Corporation,Utilities
PCL,nomatch,Misc
PCP,nomatch,Misc
PDCO,"Patterson Companies, Inc.",Services
PEG,Public Service Enterprise Group Incorporated,Utilities
PEP,"PepsiCo, Inc.",Consumer Goods
PETM,nomatch,Misc
PETS,"PetMed Express, Inc.",Healthcare
PFE,Pfizer Inc.,Healthcare
PFG,"Principal Financial Group, Inc.",Financial
PFIE,"Profire Energy, Inc.",Basic Materials
PG,The Procter & Gamble Company,Consumer Goods
PGN,nomatch,Misc
PGR,The Progressive Corporation,Financial
PH,Parker-Hannifin Corporation,Industrial Goods
PHM,"PulteGroup, Inc.",Industrial Goods
PKG,Packaging Corporation of America,Consumer Goods
PKI,"PerkinElmer, Inc.",Healthcare
PLD,"Prologis, Inc.",Financial
PLD,"Prologis, Inc.",Financial
PLD,"Prologis, Inc.",Financial
PLD,"Prologis, Inc.",Financial
PLL,Piedmont Lithium Limited,Basic Materials
PM,Philip Morris International Inc.,Consumer Goods
PNC,"The PNC Financial Services Group, Inc.",Financial
PNR,Pentair plc,Industrial Goods
PNW,Pinnacle West Capital Corporation,Utilities
POM,nomatch,Misc
PPG,"PPG Industries, Inc.",Basic Materials
PPL,PPL Corporation,Utilities
PRGO,Perrigo Company plc,Healthcare
PRU,"Prudential Financial, Inc.",Financial
PSA,Public Storage,Financial
PSX,Phillips 66,Basic Materials
PMTC,nomatch,Misc
PTV,nomatch,Misc
PVH,PVH Corp.,Consumer Goods
PWR,"Quanta Services, Inc.",Industrial Goods
PX,nomatch,Misc
PXD,Pioneer Natural Resources Company,Basic Materials
PYPL,"PayPal Holdings, Inc.",Financial
QCOM,QUALCOMM Incorporated,Technology
QLGC,nomatch,Misc
QRVO,"Qorvo, Inc.",Technology
R,"Ryder System, Inc.",Services
RAD,Rite Aid Corporation,Services
RAI,nomatch,Misc
ACXM,nomatch,Misc
RAVN,"Raven Industries, Inc.",Industrial Goods
RCL,Royal Caribbean Cruises Ltd.,Services
RDC,nomatch,Misc
RE,"Everest Re Group, Ltd.",Financial
REG,Regency Centers Corporation,Financial
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare
RF,Regions Financial Corporation,Financial
RHI,Robert Half International Inc.,Services
RHT,nomatch,Misc
RIG,Transocean Ltd.,Basic Materials
RJF,"Raymond James Financial, Inc.",Financial
RL,Ralph Lauren Corporation,Consumer Goods
RMD,ResMed Inc.,Healthcare
ROH,nomatch,Misc
ROK,"Rockwell Automation, Inc.",Industrial Goods
ROP,"Roper Technologies, Inc.",Industrial Goods
ROST,"Ross Stores, Inc.",Services
RRC,Range Resources Corporation,Basic Materials
RRD,R.R. Donnelley & Sons Company,Services
RSG,"Republic Services, Inc.",Industrial Goods
RSH,nomatch,Misc
RTN,Raytheon Company,Industrial Goods
RX,nomatch,Misc
S,Sprint Corporation,Technology
SAF,nomatch,Misc
SAM,"The Boston Beer Company, Inc.",Consumer Goods
SANM,Sanmina Corporation,Technology
SAPE,nomatch,Misc
SBAC,SBA Communications Corporation,Technology
SBL,nomatch,Misc
SBUX,Starbucks Corporation,Services
SCG,nomatch,Misc
SCHW,The Charles Schwab Corporation,Financial
SE,Sea Limited,Technology
SEE,Sealed Air Corporation,Consumer Goods
SGP,nomatch,Misc
SHLD,nomatch,Misc
SHW,The Sherwin-Williams Company,Basic Materials
SIAL,nomatch,Misc
SIG,Signet Jewelers Limited,Services
SII,nomatch,Misc
DDR,nomatch,Misc
SJM,The J. M. Smucker Company,Consumer Goods
SLB,Schlumberger Limited,Basic Materials
SLG,SL Green Realty Corp.,Financial
SLM,SLM Corporation,Financial
SNA,Snap-on Incorporated,Industrial Goods
SNDK,nomatch,Misc
SNI,nomatch,Misc
SNPS,"Synopsys, Inc.",Technology
SO,The Southern Company,Utilities
SOV,nomatch,Misc
SPG,"Simon Property Group, Inc.",Financial
MHP,nomatch,Misc
SPLS,nomatch,Misc
SRCL,"Stericycle, Inc.",Industrial Goods
SRE,Sempra Energy,Utilities
SSP,The E.W. Scripps Company,Services
STI,"SunTrust Banks, Inc.",Financial
STJ,nomatch,Misc
STR,nomatch,Misc
STT,State Street Corporation,Financial
STX,Seagate Technology plc,Technology
STZ,"Constellation Brands, Inc.",Consumer Goods
SUN,Sunoco LP,Basic Materials
WFR,nomatch,Misc
SVU,nomatch,Misc
SWK,"Stanley Black & Decker, Inc.",Industrial Goods
SWKS,"Skyworks Solutions, Inc.",Technology
SWN,Southwestern Energy Company,Basic Materials
SWY,nomatch,Misc
SYF,Synchrony Financial,Financial
SYK,Stryker Corporation,Healthcare
SYMC,Symantec Corporation,Technology
SYNT,nomatch,Misc
SYY,Sysco Corporation,Services
T,AT&T Inc.,Technology
TAP,Molson Coors Brewing Company,Consumer Goods
TDC,Teradata Corporation,Technology
TDG,TransDigm Group Incorporated,Industrial Goods
TE,nomatch,Misc
TEG,nomatch,Misc
TEL,TE Connectivity Ltd.,Technology
TER,"Teradyne, Inc.",Technology
TEX,Terex Corporation,Industrial Goods
TGT,Target Corporation,Services
THC,Tenet Healthcare Corporation,Healthcare
TIE,nomatch,Misc
TIF,Tiffany & Co.,Services
TIN,nomatch,Misc
TJX,"The TJX Companies, Inc.",Services
TKR,The Timken Company,Industrial Goods
TLAB,nomatch,Misc
TMK,nomatch,Misc
TMO,Thermo Fisher Scientific Inc.,Healthcare
COH,nomatch,Misc
TRIP,"TripAdvisor, Inc.",Technology
TROW,"T. Rowe Price Group, Inc.",Financial
TRV,"The Travelers Companies, Inc.",Financial
TSCO,Tractor Supply Company,Services
TSLA,"Tesla, Inc.",Consumer Goods
TSN,"Tyson Foods, Inc.",Consumer Goods
TSS,"Total System Services, Inc.",Financial
TT,nomatch,Misc
TWC,nomatch,Misc
TWTR,"Twitter, Inc.",Technology
TWX,nomatch,Misc
TXN,Texas Instruments Incorporated,Technology
TXT,Textron Inc.,Industrial Goods
TYC,nomatch,Misc
UA,"Under Armour, Inc.",Consumer Goods
UAL,"United Airlines Holdings, Inc.",Services
UDR,"UDR, Inc.",Financial
UG,"United-Guardian, Inc.",Consumer Goods
UHS,"Universal Health Services, Inc.",Healthcare
UIS,Unisys Corporation,Technology
ULTA,"Ulta Beauty, Inc.",Services
UNH,UnitedHealth Group Incorporated,Healthcare
UNM,Unum Group,Financial
UNP,Union Pacific Corporation,Services
UPS,"United Parcel Service, Inc.",Services
URBN,"Urban Outfitters, Inc.",Services
URI,"United Rentals, Inc.",Services
USB,U.S. Bancorp,Financial
UST,nomatch,Misc
UTX,United Technologies Corporation,Industrial Goods
V,Visa Inc.,Financial
VAR,"Varian Medical Systems, Inc.",Healthcare
VFC,V.F. Corporation,Consumer Goods
VIA,Viacom Inc.,Services
JDSU,nomatch,Misc
VIVO,"Meridian Bioscience, Inc.",Healthcare
VLO,Valero Energy Corporation,Basic Materials
VMC,Vulcan Materials Company,Industrial Goods
VNO,Vornado Realty Trust,Financial
VRSK,"Verisk Analytics, Inc.",Services
VRSN,"VeriSign, Inc.",Technology
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare
VTR,"Ventas, Inc.",Financial
VZ,Verizon Communications Inc.,Technology
WAG,nomatch,Misc
WAT,Waters Corporation,Healthcare
WB,Weibo Corporation,Technology
WBA,"Walgreens Boots Alliance, Inc.",Services
WDC,Western Digital Corporation,Technology
WDR,"Waddell & Reed Financial, Inc.",Financial
WEC,"WEC Energy Group, Inc.",Utilities
HCN,nomatch,Misc
WEN,The Wendy's Company,Services
WFC,Wells Fargo & Company,Financial
WFMI,nomatch,Misc
WFT,nomatch,Misc
WHR,Whirlpool Corporation,Consumer Goods
WINA,Winmark Corporation,Services
WIN,"Windstream Holdings, Inc.",Technology
WLTW,Willis Towers Watson Public Limited Company,Financial
WM,"Waste Management, Inc.",Industrial Goods
WM,"Waste Management, Inc.",Industrial Goods
WM,"Waste Management, Inc.",Industrial Goods
WM,"Waste Management, Inc.",Industrial Goods
WMB,"The Williams Companies, Inc.",Basic Materials
WMT,Walmart Inc.,Services
WPX,"WPX Energy, Inc.",Basic Materials
WRK,WestRock Company,Consumer Goods
WU,The Western Union Company,Financial
WWY,nomatch,Misc
WY,Weyerhaeuser Company,Industrial Goods
WYE,nomatch,Misc
WYN,nomatch,Misc
WYNN,"Wynn Resorts, Limited",Services
X,United States Steel Corporation,Basic Materials
XEC,Cimarex Energy Co.,Basic Materials
XEL,Xcel Energy Inc.,Utilities
XL,nomatch,Misc
XLNX,"Xilinx, Inc.",Technology
XOM,Exxon Mobil Corporation,Basic Materials
XRAY,DENTSPLY SIRONA Inc.,Healthcare
XRX,Xerox Holdings Corporation,Technology
XTO,nomatch,Misc
XYL,Xylem Inc.,Industrial Goods
YHOO,nomatch,Misc
YUM,"YUM! Brands, Inc.",Services
ZMH,nomatch,Misc
ZION,"Zions Bancorporation, National Association",Financial
ZTS,Zoetis Inc.,Healthcare
